日期,商品ID,商品名称,类目,促销类型,原价(元),促销价(元),销量(件),销售额(元),退货量(件),UV(人次),加购量(件),上周同期销量(件),上周同期销售额(元)
2026-04-21,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,1523,106458.7,42,8720,2105,980,88202.0
2026-04-21,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,876,39332.4,15,5430,1320,650,38935.0
2026-04-21,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,2104,73640.0,8,6200,2580,1890,85050.0
2026-04-21,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,1689,114852.0,23,7100,1920,1450,98600.0
2026-04-21,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,3210,33063.0,5,4500,3800,3100,40041.0
2026-04-22,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,1345,94045.5,38,7980,1890,1020,91798.0
2026-04-22,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,923,41442.7,12,5680,1280,620,37138.0
2026-04-22,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,1987,69545.0,10,5800,2430,1760,79200.0
2026-04-22,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,1823,123964.0,19,7350,2010,1520,103360.0
2026-04-22,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,2987,30766.1,3,4200,3650,3050,39345.0
2026-04-23,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,1102,77029.8,35,6530,1650,890,80111.0
2026-04-23,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,798,35830.2,18,4920,1150,580,34742.0
2026-04-23,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,1856,64960.0,6,5500,2280,1650,74250.0
2026-04-23,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,1567,106556.0,15,6800,1850,1380,93840.0
2026-04-23,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,2876,29622.8,4,4100,3500,2980,38442.0
2026-04-24,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,1456,101793.6,30,8200,2000,1050,94549.5
2026-04-24,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,1045,46921.5,20,6100,1450,700,41930.0
2026-04-24,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,2230,78050.0,9,6500,2700,1920,86400.0
2026-04-24,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,1920,130560.0,21,7500,2100,1600,108800.0
2026-04-24,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,3450,35535.0,7,4800,4000,3200,41280.0
2026-04-25,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,1680,117432.0,45,9500,2300,1100,98989.0
2026-04-25,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,1234,55406.6,22,6800,1600,780,46722.0
2026-04-25,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,2450,85750.0,11,7000,2900,2100,94500.0
2026-04-25,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,2150,146200.0,25,8200,2350,1700,115600.0
2026-04-25,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,3680,37904.0,6,5100,4200,3350,43215.0
2026-04-26,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,2010,140499.0,52,11200,2800,1250,112375.0
2026-04-26,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,1567,70358.3,28,7800,1900,850,50915.0
2026-04-26,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,2680,93800.0,14,7500,3100,2300,103500.0
2026-04-26,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,2430,165240.0,30,9000,2650,1850,125800.0
2026-04-26,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,4120,42436.0,8,5600,4700,3500,45150.0
2026-04-27,SKU001,智利车厘子2斤装,生鲜水果,满减,89.9,69.9,2230,155877.0,48,12000,3000,1350,121365.0
2026-04-27,SKU002,澳洲谷饲牛排200g,生鲜肉禽,第二件半价,59.9,44.9,1689,75836.1,25,8200,2050,900,53910.0
2026-04-27,SKU003,有机鸡蛋30枚,生鲜蛋品,直降,45.0,35.0,2890,101150.0,12,8000,3350,2450,110250.0
2026-04-27,SKU004,蒙牛纯甄酸奶12盒,乳品饮料,买一送一,68.0,68.0,2650,180200.0,28,9500,2800,1950,132600.0
2026-04-27,SKU005,海天生抽500ml,粮油调味,满2件8折,12.9,10.3,4500,46350.0,9,6000,5100,3600,46440.0
